SKU,Name,Category,Department,Unit,List Price,Contract Price,Compliance Cite,Compliance Note,Image Status,Image File,Seller,Barcode
MVS-PLY-12C,"Plywood — 1/2 in CDX, 4 ft × 8 ft",sheathing,Sheathing & Framing,SHT,32,,IRC R503,"PS 1 governs structural plywood. CDX is C-grade face, D-grade back, Exposure 1 glue — it tolerates construction-phase wetting better than OSB, which is why re-roof decks and soffits still ask for it.",photo,mvs-ply-12c.jpg,MVS,
MVS-STD-248,Stud — 2×4×8 SPF #2,sheathing,Sheathing & Framing,EA,3.85,,IRC R602,PS 20 is the American Softwood Lumber Standard behind the grade stamp; SPF #2 is the workhorse framing grade. IRC R602 sets wall framing — 16 in on center for most of what this stud will ever hold up.,photo,mvs-std-248.jpg,MVS,
MVS-DW-1248,"Drywall — 1/2 in, 4 ft × 8 ft",drywall,Drywall,SHT,13.5,,ASTM C840,"ASTM C1396 is the board spec; C840 is how it goes up — fastener spacing, joint treatment. Where the plans say 'one-hour wall,' that is Type X in a listed assembly, not regular board hung twice as carefully.",photo,mvs-dw-1248.jpg,MVS,
MVS-HW-Z90,House Wrap — 9 ft × 100 ft Roll,sheathing,Sheathing & Framing,RL,142,,IRC R703.2,"IRC R703.2 requires a water-resistive barrier behind cladding. ASTM E1677 is the air-barrier spec wraps are tested to. Lap it shingle-style and tape the seams, or the wall assembly is a funnel with extra steps.",photo,mvs-hw-z90.jpg,MVS,
MVS-CX-20OT,Shipping Container — 20 ft One-Trip,structures,Site Structures,EA,2950,,49 CFR 450-453,"The CSC safety-approval plate on the door is the container's credential under the International Convention for Safe Containers, carried into US law at 49 CFR 450-453. One-trip means one loaded ocean leg — the closest thing to new that ever reaches a jobsite.",photo,mvs-cx-20ot.jpg,MVS,
MVS-CX-40HC,Shipping Container — 40 ft High-Cube One-Trip,structures,Site Structures,EA,4850,,49 CFR 450-453,"Same CSC credential as the 20 — check the plate date before buying any used box. The extra foot of height is what makes the 40 HC the shell of choice for conversions, and the reason the truck needs room to lay it down.",photo,mvs-cx-40hc.jpg,MVS,
MVS-ST-GLO20,"Ground-Level Office — 20 ft, Wired & Insulated",structures,Site Structures,EA,12800,,1926.403,"A container office lands at ground level, so it skips the stairs and ramps a trailer office drags along. The electrical package has to be listed and installed per NEC — OSHA 1926.403 requires approved equipment on site power, and an inspector will open that panel.",photo,mvs-st-glo20.jpg,MVS,
MVS-ST-BOOTH,"Guard Booth — 4 ft × 6 ft, Prefab",structures,Site Structures,EA,9600,,1926.95,"A booth is bought for the person in it: out of traffic, out of weather, sightlines to the gate. Set it where the site plan puts the flagger and the truck route, not where the crane happened to be that day.",photo,mvs-st-booth.jpg,MVS,
MVS-PB-CARP21,"Steel Carport — 20 ft × 21 ft, 2-Car",structures,Site Structures,EA,3295,,Local permit rules,"A carport is the cheapest roof you can put over iron and material. Many Kentucky counties treat an open-sided carport differently from an enclosed building for permitting — check with the county office before the crew is scheduled, and we can point you to the right desk.",glyph,,MVS,
MVS-PB-2430,"Steel Garage Kit — 24 ft × 30 ft × 10 ft, Bolt-Up",structures,Site Structures,EA,14500,,KRS 198B permit,"An enclosed building needs a permit, and the permit needs load-rated drawings — the kit ships with engineering sealed for your county's snow and wind loads, which is the paperwork that gets you to a foundation pour instead of a stop-work order.",glyph,,MVS,
MVS-PB-3040,"Steel Building — 30 ft × 40 ft × 12 ft, Bolt-Up Kit",structures,Site Structures,EA,24800,,KRS 198B permit,"Thirty by forty is the workhorse size: big enough for a two-bay shop with racking, small enough that a four-person crew erects it. The included per-order engineering covers your site's loads — the drawings go to the county, the anchor-bolt plan goes to your concrete sub.",glyph,,MVS,
MVS-PB-RUN1224,"Loafing Shed — 12 ft × 24 ft, Delivered Set",structures,Site Structures,EA,5450,,Ag-exempt in most KY counties,"A skid-built ag shed arrives finished — no site crew, no pour, set on grade in an afternoon. Most Kentucky counties exempt agricultural buildings from building-permit review, but the exemption is the county's call, not the seller's — one phone call before delivery settles it.",glyph,,MVS,
MVS-PB-SHED1220,Portable Storage Building — 12 ft × 20 ft,structures,Site Structures,EA,7900,,Local permit rules,A portable building beats a stick-built shed on one number: it shows up done. Skid construction means it can move when the site plan changes — the reason contractors buy them for tool cribs and sell them with the house when the job closes.,glyph,,MVS,
MVS-STR-PM399,"Park Model Cabin — 399 sq ft, One Bedroom + Loft",str,Short-Term Rental Units,EA,79500,,County STR permit,At 399 sq ft a park model rides under the 400 sq ft line that keeps it in the ANSI A119.5 recreational-vehicle regime instead of site-built code — the certification seal on the unit is what the county and your insurer look for. Short-term rental permitting is separate and local: confirm your county's STR ordinance before the unit ships.,glyph,,MVS,
MVS-STR-TH24,"Tiny Home on Wheels — 24 ft, Certified Build",str,Short-Term Rental Units,EA,52000,,County STR permit,"On wheels, the unit is titled like an RV — which is exactly why the builder's certification matters: an uncertified build can be refused by parks, lenders and insurers at once. Where it can legally host guests is the county's STR ordinance, not the title.",glyph,,MVS,
MVS-STR-CAB1236,"Cabin Shell — 12 ft × 36 ft, Amish-Built, Lofted",str,Short-Term Rental Units,EA,28500,,KBC permit to finish,"A shell keeps the cash outlay low and the finish under your control — but the moment it becomes a dwelling, the interior build-out needs a local building permit and inspections like any habitable structure. Budget the well, septic and power before the shell, not after.",glyph,,MVS,
MVS-STR-CONT40,"Container Home — 40 ft, One Bedroom, Turnkey",str,Short-Term Rental Units,EA,58500,,KY IBS insignia + county STR permit,Kentucky certifies factory-built habitable structures through its industrialized building system program — the state insignia on the unit is what makes a container conversion legally a dwelling here. A unit without the insignia is a storage box with a shower in it; the county will treat it that way.,glyph,,MVS,
MVS-STR-POD14,"Glamping Pod — 14 ft, Sleeping Unit",str,Short-Term Rental Units,EA,18900,,County STR permit,A pod is the cheapest door on a rental property because it skips plumbing entirely — the economics work when several pods share one bathhouse. Counties differ sharply on unplumbed sleeping units; the STR ordinance and health department both get a call first.,glyph,,MVS,
MVS-SF-S158,"Steel Stud — 1-5/8"" × 8 ft, 25-ga EQ",sheathing,Sheathing & Framing,EA,3.25,,ASTM C754 install,"C645 is the spec that makes a drywall stud a drywall stud — flange, lip and thickness are all defined there, and C754 governs how it goes in.",glyph,,MVS,
MVS-SF-S358,"Steel Stud — 3-5/8"" × 8 ft, 25-ga EQ",sheathing,Sheathing & Framing,EA,4.15,,ASTM C754 install,Every commercial interior wall in America is mostly this stick. It pairs with 3-5/8 track top and bottom — order both or the framer goes home.,glyph,,MVS,
MVS-SF-S600,"Steel Stud — 6"" × 8 ft, 25-ga EQ",sheathing,Sheathing & Framing,EA,5.95,,ASTM C754 install,Six-inch studs buy chase depth for drain lines and enough stiffness for taller partitions before you need heavier gauge.,glyph,,MVS,
MVS-SF-T358,"Steel Track — 3-5/8"" × 10 ft, 25-ga",sheathing,Sheathing & Framing,EA,4.85,,ASTM C754 install,Track legs are shorter than stud flanges by design — the stud friction-fits and spins into place. Rule of thumb: track footage equals twice the wall length.,glyph,,MVS,
MVS-SF-T600,"Steel Track — 6"" × 10 ft, 25-ga",sheathing,Sheathing & Framing,EA,6.75,,ASTM C754 install,"Match the track to the stud width exactly — a 6-inch wall on 3-5/8 track is a callback, not a wall.",glyph,,MVS,
MVS-SF-CB8,"Corner Bead — 1-1/4"" × 8 ft, Galvanized",drywall,Drywall,EA,2.1,,—,C1047 covers the trim accessories that finish drywall — bead takes the impact so the edge of the board never has to.,glyph,,MVS,
MVS-SF-JT8,"J-Trim — 1/2"" × 8 ft",drywall,Drywall,EA,2.35,,—,"J-trim finishes an edge the eye will see without tape or mud — sized to the board thickness, so match it to the rock.",glyph,,MVS,
MVS-SF-ZF8,"Z-Furring — 1"" × 8 ft",drywall,Drywall,EA,3.1,,ASTM C754 install,"Z-furring is how a block wall becomes a finished, insulated wall — the Z profile pins the foam and carries the drywall in one member.",glyph,,MVS,
MVS-SF-WA10,"Wall Angle — 1"" × 2"" × 10 ft",drywall,Drywall,EA,2.4,,—,The angle carries the cut edge of every perimeter ceiling tile — it sets the level line the whole grid hangs from.,glyph,,MVS,
MVS-SF-HAT78,"Hat / Furring Channel — 7/8"" × 12 ft",drywall,Drywall,EA,4.25,,ASTM C754 install,"Hat channel turns any solid surface into a screwable, shimmable plane — the most versatile stick in the interior package.",glyph,,MVS,
MVS-SF-CRC12,"Cold-Rolled Carrying Channel — 1-1/2"" × 12 ft",drywall,Drywall,EA,5.5,,1926.754 general,C754 lays out the whole suspension chain: hanger wire to carrying channel to furring to board. This is the backbone member of that chain.,glyph,,MVS,
MVS-SF-RC12,Resilient Channel — RC-1 × 12 ft,drywall,Drywall,EA,4.95,,ASTM C754 install,Sound moves through screws — RC-1's single flexible leg breaks that path. Screw the board to the channel only; hit the stud through it and the rating is gone.,glyph,,MVS,
MVS-PB-4060,"Barndominium Shell — 40 ft × 60 ft × 14 ft, Bolt-Up Kit",structures,Site Structures,EA,38500,,KRS 198B permit,"A barndominium is a permitted dwelling, not an ag building — the shell ships with engineering sealed to your county's loads, and the living-quarters buildout is inspected like any house.",glyph,,MVS,
MVS-PB-PORCH12,Porch Roof Kit — per 12-ft Bay,structures,Site Structures,EA,1850,,Included in shell permit,"A porch designed with the shell shares its engineering and its permit — bolted on later, it's a new structural review.",glyph,,MVS,
MVS-IN-R19,Fiberglass Batt R-19 — per 100 sq ft,sheathing,Sheathing & Framing,EA,68,,—,"R-19 in a 2x6 or furred steel wall is the baseline the Kentucky energy code expects for conditioned rooms — insulate the quarters, not the shop, and the numbers work.",glyph,,MVS,
MVS-CI-PART8,"Container Partition Kit — Steel Stud, per 8-ft Wall",structures,Site Structures,EA,185,,Component — no permit item,"Steel studs go into a steel box — no moisture movement, no added fire load, and the wall comes back out if the layout changes.",glyph,,MVS,
MVS-CI-INSUL8,Insulation + Wall Liner — per 8-ft Bay,structures,Site Structures,EA,420,,Component — no permit item,"A bare container sweats — closed-cell foam is the only insulation that also seals the steel from interior moisture, which is why every habitable conversion starts here.",glyph,,MVS,
MVS-CI-ELEC,Container Electrical Package — Panel + 4 Circuits,structures,Site Structures,EA,1850,,1926.403,OSHA 1926.403 requires listed and approved electrical equipment on site power — a surface-raceway package keeps every conductor visible for the inspector and out of the steel.,glyph,,MVS,
MVS-CI-HVAC12,Mini-Split — 12k BTU Heat/Cool,structures,Site Structures,EA,1450,,Component — no permit item,"One 12k head carries a 160 sq ft insulated container through a Kentucky summer and winter both — sized to the box, not the brochure.",glyph,,MVS,
MVS-CI-WIN36,Container Window Kit — 36 × 36 with Welded Frame,structures,Site Structures,EA,385,,Component — no permit item,The welded sub-frame restores the wall's shear strength around the cutout — a window hole without one lets the top rail sag over time.,glyph,,MVS,
MVS-CI-DOOR36,Container Man-Door Kit — 36 in Steel,structures,Site Structures,EA,685,,Component — no permit item,"The first upgrade every container office gets — cargo doors are a two-hand operation in the rain, and a man-door turns the box into a building.",glyph,,MVS,
MVS-CI-FLR8,LVP Floor over Subfloor — per 8-ft Bay,structures,Site Structures,EA,310,,Component — no permit item,Container floors ship treated with marine pesticides — a sealed vapor barrier and new walking surface is the accepted remediation for occupied use.,glyph,,MVS,
MVS-DK-SEC410,Floating Dock Section — 4 ft × 10 ft,dock,Docks & Waterfront,EA,1650,,USACE shoreline permit,"Nolin, Rough River and Barren are Corps of Engineers lakes — a private dock needs a shoreline-use permit from the district office before it touches the water. Foam-filled floats are required on most Corps lakes because air-only floats sink when punctured.",glyph,,MVS,
MVS-DK-SEC810,Floating Dock Section — 8 ft × 10 ft Platform,dock,Docks & Waterfront,EA,2950,,USACE shoreline permit,"Platform sections carry the live load where people gather; the frame is the same galvanized channel as the walkway sections, so the whole dock bolts together with one hardware kit.",glyph,,MVS,
MVS-DK-GANG20,Aluminum Gangway — 3 ft × 20 ft,dock,Docks & Waterfront,EA,2400,,USACE shoreline permit,Corps lakes move — Nolin's pool swings many feet between summer and winter. Twenty feet of gangway is what keeps the walk aboard at a sane slope through the drawdown.,glyph,,MVS,
MVS-DK-DECKC,Composite Decking Upgrade — per Section,dock,Docks & Waterfront,EA,240,,Component — no permit item,"On a dock the deck board lives wet — capped composite shrugs that off, and hidden fasteners mean no proud screw heads under bare feet.",glyph,,MVS,
MVS-DK-CLEAT10,Galvanized Dock Cleat — 10 in,dock,Docks & Waterfront,EA,18,,Component — no permit item,"Cleats take shock loads a railing never sees — through-bolted to the frame, never lagged to a deck board.",glyph,,MVS,
MVS-DK-BUMP10,Dock Edge Bumper — 10 ft,dock,Docks & Waterfront,EA,95,,Component — no permit item,The bumper is the cheapest part on the dock and protects the most expensive thing that touches it.,glyph,,MVS,
MVS-DK-LAD4,"Swim Ladder — 4-Step, Flip-Up",dock,Docks & Waterfront,EA,210,,Component — no permit item,"A ladder is how a swimmer gets out — one per swim side, mounted where the water stays deep at winter pool.",glyph,,MVS,
MVS-DK-ANCH,Dock Anchor Kit — per Corner,dock,Docks & Waterfront,EA,145,,USACE shoreline permit,Crossed-chain deadweight anchoring lets a floating dock ride the lake's rise and fall without walking down the shoreline — the layout the Corps expects to see on the permit sketch.,glyph,,MVS,
MVS-SC-DOOR3,"Shed Door — 3-0 × 6-10 Prehung, Primed",structures,Site Structures,EA,185,,Component — no permit item,"A prehung shed door is square out of the box — the hinge mortises and latch alignment are the two things a first-time builder gets wrong, and this removes both.",glyph,,MVS,
MVS-SC-WIN34,Shed Window — 3 ft × 4 ft with J-Trim,structures,Site Structures,EA,95,,Component — no permit item,"Shed windows mount from outside over the sheathing, so the rough framing tolerance is forgiving — the J-trim covers the cut edge and sheds water without flashing tape.",glyph,,MVS,
MVS-SC-RAMP4,"Shed Ramp Kit — 4 ft, Rated 1,000 lb",structures,Site Structures,EA,265,,Component — no permit item,"The ramp is rated for point loads, not just spread weight — a 700-lb zero-turn on two wheels is the real test, and a site-built plywood ramp fails it.",glyph,,MVS,
MVS-SC-LOFT8,Shed Loft Kit — per 8-ft Bay,structures,Site Structures,EA,145,,Component — no permit item,"A loft hangs on ledgers screwed into studs, so it adds storage without touching the floor plan — the gable end keeps it out of the door swing.",glyph,,MVS,
MVS-SC-CUP24,"Cupola — 24 in, Vented with Weathervane Mount",structures,Site Structures,EA,395,,Component — no permit item,A vented cupola moves attic air off the ridge without a powered fan — and it is the single option that most changes what a shed looks like from the road.,glyph,,MVS,
MVS-RF-MTL29,"Metal Roofing — 29-ga Panel, Cut to Length",roofing,Roofing Accessories,SQ,148,,1926.501(b)(11),"Cut-to-length panels mean the roof goes on in full runs, eave to ridge. On any steep-slope work, 1926.501(b)(11) requires fall protection at 6 ft — a shed roof is low, a house roof is not; plan the work, not just the material.",glyph,,MVS,
MVS-TR-G12,Engineered Gable Truss — up to 12 ft Span,structures,Site Structures,EA,92,,1926.757,"A plated truss replaces rafter, ridge and ceiling-tie cutting with one engineered piece — the plant's sealed design sheet is what a county plans-reviewer wants to see, and OSHA 1926.757 governs how trusses are braced during setting.",glyph,,MVS,
MVS-FA-CLA,"First Aid Kit — ANSI Z308.1 Class A, 25-Person",jobsite,Jobsite Compliance,kit,27,,1926.50(d)(1),"1926.50(d)(1) requires first aid supplies to be easily accessible when required, and OSHA points to ANSI/ISEA Z308.1 as the reference fill. Class A covers the common injuries — cuts, abrasions, minor burns — for a typical crew. Check and restock it, because an inspector will open the box.",photo,mvs-fa-cla.jpg,MVS,
MVS-FA-CLB,"First Aid Kit — ANSI Z308.1 Class B, 50-Person Cabinet",jobsite,Jobsite Compliance,kit,75,,1926.50(d)(1),"Same rule — 1926.50(d)(1) requires accessible first aid supplies, with ANSI/ISEA Z308.1 as the reference. Class B is the high-risk, higher-density fill: larger quantities plus a splint and a tourniquet, sized for a bigger site where the injuries run worse than band-aid grade.",glyph,,MVS,
MVS-FE-10,Fire Extinguisher — 10 lb ABC Dry Chemical,jobsite,Jobsite Compliance,each,95,,1926.150(c)(1)(i),"1926.150(c)(1)(i) requires an extinguisher rated not less than 2A for each 3,000 sq ft of building area, with travel distance to it never over 100 ft. A 10 lb ABC at 4-A:80-B:C covers double the minimum with one unit, and 1926.150(c)(1)(viii) adds the annual maintenance check the tag records.",photo,mvs-fe-10.jpg,MVS,
MVS-RS-N95,N95 Particulate Respirator — Box of 20,jobsite,Jobsite Compliance,box,30,,1926.103 / 29 CFR 1910.134,"1926.103 carries construction respiratory protection over to 29 CFR 1910.134: where exposure requires a respirator, the employer needs a written program, a medical evaluation and an annual fit test — an N95 on an unfitted face passes nothing. Even voluntary comfort use against nuisance dust requires 1910.134 Appendix D to reach every wearer.",photo,mvs-rs-n95.jpg,MVS,
MVS-RS-P100,Half-Mask Respirator — with P100 Filters,jobsite,Jobsite Compliance,each,38,,29 CFR 1910.134,"For silica and lead work, the exposure rules and 29 CFR 1910.134 put crews in real respirators — an elastomeric half mask with P100 filters (99.97% at the most-penetrating particle size) is the workhorse. Fit testing under 1910.134(f) and a medical evaluation come first; the mask is reusable, the filters are the consumable.",glyph,,MVS,
MVS-EP-200,"Foam Earplugs — Uncorded, Box of 200 Pairs",jobsite,Jobsite Compliance,box,26,,1926.101(a),"1926.101(a) requires ear protective devices wherever noise cannot be brought under the 1926.52 limits — 90 dBA over an 8-hour shift, less as it gets louder. Foam plugs at NRR 29 are the everyday answer, and a box of 200 pairs is a jobsite consumable, not equipment: they get one shift each.",photo,mvs-ep-200.jpg,MVS,
