id,title,description,link,price,availability,condition,brand,product_category,unit,standard,fulfillment_lead
MVS-VS-C3,"Hi-Vis Long-Sleeve — Class 3, Type R","Class 3 required over 50 mph, poor visibility, or where the worker must be seen through a full range of motion.",https://mistyvalleysupply.com/#/p/MVS-VS-C3,34.50 USD,in_stock,new,Misty Valley Supply,Hi-Vis Apparel,each,ANSI/ISEA 107 Type R Class 3,2–4 days
MVS-VS-O1,"Hi-Vis Vest — Class 1, Type O",Type O is off-road only. Not legal on a public right of way — a common and expensive mix-up.,https://mistyvalleysupply.com/#/p/MVS-VS-O1,9.40 USD,in_stock,new,Misty Valley Supply,Hi-Vis Apparel,each,ANSI/ISEA 107 Type O Class 1,2–4 days
MVS-FH-5PT,"Full Body Harness — 5-Point, Universal","Arrest force limited to 1,800 lb, free fall limited to 6 ft, deceleration distance 3.5 ft.",https://mistyvalleysupply.com/#/p/MVS-FH-5PT,118.00 USD,in_stock,new,Misty Valley Supply,Fall Protection,each,ANSI/ASSP Z359.11,4–6 days
MVS-SRL-11,"Self-Retracting Lifeline — 11 ft, Class 2",Class 2 permits up to 24 in arrest distance. Check clearance below before you spec any SRL.,https://mistyvalleysupply.com/#/p/MVS-SRL-11,268.00 USD,in_stock,new,Misty Valley Supply,Fall Protection,each,ANSI/ASSP Z359.14 Class 2,4–6 days
MVS-LY-SA6,"Shock-Absorbing Lanyard — 6 ft, Double Leg",Needs 18.5 ft of clearance below the anchor. On a low roof this is the wrong product — use an SRL.,https://mistyvalleysupply.com/#/p/MVS-LY-SA6,142.00 USD,in_stock,new,Misty Valley Supply,Fall Protection,each,ANSI/ASSP Z359.13,4–6 days
MVS-SID-VD4,"Vinyl Siding — Double 4 in Clapboard, per square",White and clay in stock; full color card by order.,https://mistyvalleysupply.com/#/p/MVS-SID-VD4,118.00 USD,in_stock,new,Misty Valley Supply,Siding,SQ,ASTM D3679,Same day
MVS-SID-AL8,"Aluminum Siding — 8 in Horizontal, per square",For repairs and matches on existing aluminum-clad houses.,https://mistyvalleysupply.com/#/p/MVS-SID-AL8,215.00 USD,in_stock,new,Misty Valley Supply,Siding,SQ,AAMA 1402,3-5 days
MVS-SID-JCH,"Vinyl J-Channel — 5/8 in, 12 ft 6 in",The trim piece every siding job runs out of first.,https://mistyvalleysupply.com/#/p/MVS-SID-JCH,6.90 USD,in_stock,new,Misty Valley Supply,Siding,EA,ASTM D3679,Same day
MVS-OSB-716,"OSB Sheathing — 7/16 in, 4 ft × 8 ft",APA span-rated 24/16. Bundle pricing at 25+.,https://mistyvalleysupply.com/#/p/MVS-OSB-716,13.75 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,SHT,"PS 2, 24/16 span",Same day
MVS-PLY-12C,"Plywood — 1/2 in CDX, 4 ft × 8 ft",For decks that will sit exposed longer than OSB should.,https://mistyvalleysupply.com/#/p/MVS-PLY-12C,32.00 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,SHT,"PS 1, C-D Exposure 1",Same day
MVS-STD-248,Stud — 2×4×8 SPF #2,"Kiln-dried, grade-stamped. Unit pricing at 294 (a lift).",https://mistyvalleysupply.com/#/p/MVS-STD-248,3.85 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,EA,"PS 20, SPF #2",Same day
MVS-DW-1248,"Drywall — 1/2 in, 4 ft × 8 ft",Regular board. Type X and mold-resistant by order.,https://mistyvalleysupply.com/#/p/MVS-DW-1248,13.50 USD,in_stock,new,Misty Valley Supply,Drywall,SHT,ASTM C1396,Same day
MVS-HW-Z90,House Wrap — 9 ft × 100 ft Roll,"Tape sold beside it, because it always is.",https://mistyvalleysupply.com/#/p/MVS-HW-Z90,142.00 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,RL,ASTM E1677,Same day
MVS-CX-20OT,Shipping Container — 20 ft One-Trip,"One ocean crossing, near-new. Tilt-bed delivery included inside 60 mi.",https://mistyvalleysupply.com/#/p/MVS-CX-20OT,2950.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,CSC plated,5-10 days
MVS-CX-40HC,Shipping Container — 40 ft High-Cube One-Trip,9 ft 6 in tall. Needs 100+ ft of straight approach for the tilt-bed.,https://mistyvalleysupply.com/#/p/MVS-CX-40HC,4850.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,CSC plated,5-10 days
MVS-ST-GLO20,"Ground-Level Office — 20 ft, Wired & Insulated","Door, window, HVAC, panel. Ground level — no stairs, no ramp, no crane.",https://mistyvalleysupply.com/#/p/MVS-ST-GLO20,12800.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Container office, wired to NEC",3-5 weeks
MVS-ST-BOOTH,"Guard Booth — 4 ft × 6 ft, Prefab","Forklift-set. Gate access, flagger shelter, tool crib.",https://mistyvalleysupply.com/#/p/MVS-ST-BOOTH,9600.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Prefab, panelized",4-6 weeks
MVS-PB-CARP21,"Steel Carport — 20 ft × 21 ft, 2-Car","Installed on your level pad. Two vehicles, equipment, or covered material staging.",https://mistyvalleysupply.com/#/p/MVS-PB-CARP21,3295.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"29-ga panels, galvanized frame",2-4 weeks
MVS-PB-2430,"Steel Garage Kit — 24 ft × 30 ft × 10 ft, Bolt-Up","Full bolt-up kit: framing, 26-ga panels, one garage door, one walk door. Stamped drawings for permit included.",https://mistyvalleysupply.com/#/p/MVS-PB-2430,14500.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,Engineered per order to IBC loads,6-8 weeks
MVS-PB-3040,"Steel Building — 30 ft × 40 ft × 12 ft, Bolt-Up Kit","Shop, equipment shed, or small ag building. 12-ft eaves clear a lift. Stamped drawings included.",https://mistyvalleysupply.com/#/p/MVS-PB-3040,24800.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,Engineered per order to IBC loads,6-10 weeks
MVS-PB-RUN1224,"Loafing Shed — 12 ft × 24 ft, Delivered Set","Amish-built locally, hauled in and set the same day. Stock run-in, hay cover, or equipment lean-to.",https://mistyvalleysupply.com/#/p/MVS-PB-RUN1224,5450.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Built on treated skids,3-5 weeks
MVS-PB-SHED1220,Portable Storage Building — 12 ft × 20 ft,Sided and shingled to match a house. Double doors take a mower or a pallet jack.,https://mistyvalleysupply.com/#/p/MVS-PB-SHED1220,7900.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Built on treated skids,3-5 weeks
MVS-STR-PM399,"Park Model Cabin — 399 sq ft, One Bedroom + Loft","Full kitchen and bath, delivered and set on your pad. The workhorse of Airbnb lots.",https://mistyvalleysupply.com/#/p/MVS-STR-PM399,79500.00 USD,in_stock,new,Misty Valley Supply,Short-Term Rental Units,EA,ANSI A119.5 park model,10-14 weeks
MVS-STR-TH24,"Tiny Home on Wheels — 24 ft, Certified Build","Towable between lots. Sleeps 2-4, full wet bath, mini-split.",https://mistyvalleysupply.com/#/p/MVS-STR-TH24,52000.00 USD,in_stock,new,Misty Valley Supply,Short-Term Rental Units,EA,Built to ANSI A119.5 by a certified plant,8-12 weeks
MVS-STR-CAB1236,"Cabin Shell — 12 ft × 36 ft, Amish-Built, Lofted","Delivered dried-in: framed, sided, roofed, doors and windows set. You finish the inside.",https://mistyvalleysupply.com/#/p/MVS-STR-CAB1236,28500.00 USD,in_stock,new,Misty Valley Supply,Short-Term Rental Units,EA,Shell — finished on site under local permit,4-6 weeks
MVS-STR-CONT40,"Container Home — 40 ft, One Bedroom, Turnkey","Kitchenette, bath, mini-split, ready for utility hookups. Crane-set in a day.",https://mistyvalleysupply.com/#/p/MVS-STR-CONT40,58500.00 USD,in_stock,new,Misty Valley Supply,Short-Term Rental Units,EA,Factory-built to KY industrialized-building rules,10-16 weeks
MVS-STR-PRM1428,"Premium Portable Building — 14 × 28, Finished & Conditioned","Board-and-batten siding over a stone-veneer wainscot, finished and insulated inside, mini-split installed. Delivered set — plug into site power and work.",https://mistyvalleysupply.com/#/p/MVS-STR-PRM1428,36500.00 USD,in_stock,new,Misty Valley Supply,Short-Term Rental Units,EA,"Finished interior, mini-split, wired",6-10 weeks
MVS-STR-PRM1224,"Premium Portable Building — 12 × 24, Finished & Conditioned","The smaller premium footprint — same finish level, one-room layout.",https://mistyvalleysupply.com/#/p/MVS-STR-PRM1224,27900.00 USD,in_stock,new,Misty Valley Supply,Short-Term Rental Units,EA,"Finished interior, mini-split, wired",6-10 weeks
MVS-SC-WAIN8,Stone-Veneer Wainscot Kit — per 8-ft Section,The band that makes a building read custom from the road. Ordered by the 8-ft section.,https://mistyvalleysupply.com/#/p/MVS-SC-WAIN8,240.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Polymer stone veneer, trim cap",1-2 weeks
MVS-STR-POD14,"Glamping Pod — 14 ft, Sleeping Unit","Insulated, wired for a mini-split. No plumbing — pairs with a bathhouse.",https://mistyvalleysupply.com/#/p/MVS-STR-POD14,18900.00 USD,in_stock,new,Misty Valley Supply,Short-Term Rental Units,EA,Unplumbed sleeping unit,6-8 weeks
MVS-SF-S158,"Steel Stud — 1-5/8"" × 8 ft, 25-ga EQ",Chase walls and furring. Sold in 10s.,https://mistyvalleysupply.com/#/p/MVS-SF-S158,3.25 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,EA,ASTM C645,2-4 days
MVS-SF-S358,"Steel Stud — 3-5/8"" × 8 ft, 25-ga EQ",The workhorse interior stud. Sold in 10s.,https://mistyvalleysupply.com/#/p/MVS-SF-S358,4.15 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,EA,ASTM C645,2-4 days
MVS-SF-S600,"Steel Stud — 6"" × 8 ft, 25-ga EQ",Plumbing walls and taller runs. Sold in 10s.,https://mistyvalleysupply.com/#/p/MVS-SF-S600,5.95 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,EA,ASTM C645,2-4 days
MVS-SF-T358,"Steel Track — 3-5/8"" × 10 ft, 25-ga",Top and bottom runner for 3-5/8 stud. Sold in 10s.,https://mistyvalleysupply.com/#/p/MVS-SF-T358,4.85 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,EA,ASTM C645,2-4 days
MVS-SF-T600,"Steel Track — 6"" × 10 ft, 25-ga",Runner for 6-inch stud. Sold in 10s.,https://mistyvalleysupply.com/#/p/MVS-SF-T600,6.75 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,EA,ASTM C645,2-4 days
MVS-SF-CB8,"Corner Bead — 1-1/4"" × 8 ft, Galvanized",Every outside corner. Sold in 10s.,https://mistyvalleysupply.com/#/p/MVS-SF-CB8,2.10 USD,in_stock,new,Misty Valley Supply,Drywall,EA,ASTM C1047,2-4 days
MVS-SF-JT8,"J-Trim — 1/2"" × 8 ft","Caps exposed 1/2-inch board edges — windows, openings, panel ends.",https://mistyvalleysupply.com/#/p/MVS-SF-JT8,2.35 USD,in_stock,new,Misty Valley Supply,Drywall,EA,ASTM C1047,2-4 days
MVS-SF-ZF8,"Z-Furring — 1"" × 8 ft",Holds rigid insulation to masonry and gives the board something to screw to.,https://mistyvalleysupply.com/#/p/MVS-SF-ZF8,3.10 USD,in_stock,new,Misty Valley Supply,Drywall,EA,ASTM C645 accessory,2-4 days
MVS-SF-WA10,"Wall Angle — 1"" × 2"" × 10 ft",Perimeter support for suspended ceilings. Sold in 10s.,https://mistyvalleysupply.com/#/p/MVS-SF-WA10,2.40 USD,in_stock,new,Misty Valley Supply,Drywall,EA,Ceiling perimeter angle,2-4 days
MVS-SF-HAT78,"Hat / Furring Channel — 7/8"" × 12 ft",Furs out ceilings and masonry at 16 or 24 o.c.,https://mistyvalleysupply.com/#/p/MVS-SF-HAT78,4.25 USD,in_stock,new,Misty Valley Supply,Drywall,EA,ASTM C645 accessory,2-4 days
MVS-SF-CRC12,"Cold-Rolled Carrying Channel — 1-1/2"" × 12 ft",The main runner of a suspended drywall ceiling — hat channel clips below it.,https://mistyvalleysupply.com/#/p/MVS-SF-CRC12,5.50 USD,in_stock,new,Misty Valley Supply,Drywall,EA,ASTM C754 suspension,2-4 days
MVS-SF-RC12,Resilient Channel — RC-1 × 12 ft,Decouples the board from the framing — the cheap way to buy STC points.,https://mistyvalleysupply.com/#/p/MVS-SF-RC12,4.95 USD,in_stock,new,Misty Valley Supply,Drywall,EA,Single-leg RC-1,2-4 days
MVS-IM-EXP37,"Expandable Container House — 37 ft, 3-Room, Preorder",Folds out to three rooms with kitchen and bath rough-in. Preorder — units ship when the container booking fills.,https://mistyvalleysupply.com/#/p/MVS-IM-EXP37,28500.00 USD,preorder,new,Misty Valley Supply,Short-Term Rental Units,EA,Imported unit — not a certified dwelling,12-16 weeks
MVS-IM-EXP19,"Expandable Container House — 19 ft, 1-Room, Preorder","One room, wired, insulated panels. The lowest-cost enclosed square footage on the site.",https://mistyvalleysupply.com/#/p/MVS-IM-EXP19,16900.00 USD,preorder,new,Misty Valley Supply,Short-Term Rental Units,EA,Imported unit — not a certified dwelling,12-16 weeks
MVS-IM-FOLD20,"Folding Container Unit — 20 ft, Flat-Pack, Preorder","Ships flat, unfolds in an hour with two people. Four units ride in one container slot.",https://mistyvalleysupply.com/#/p/MVS-IM-FOLD20,13500.00 USD,preorder,new,Misty Valley Supply,Short-Term Rental Units,EA,Imported unit — site storage/office class,12-16 weeks
MVS-DP-PERMIT,Permit Drawing Package — Drafted from Your Model,Construction drawings generated from the exact model that priced your job — IFC (ISO 16739) data file included.,https://mistyvalleysupply.com/#/p/MVS-DP-PERMIT,450.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,"Plan, elevations, sections + IFC data",3-5 days after order confirmation
MVS-DP-SEAL,Sealed Drawings & Calculations — Licensed Partner Engineers,"Our drafted package, reviewed, calculated and sealed by licensed partner engineers.",https://mistyvalleysupply.com/#/p/MVS-DP-SEAL,1400.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,Sealed to your county's loads,2-3 weeks after order confirmation
MVS-PB-50100,PEB Warehouse Shell — 50 ft × 100 ft × 16 ft Eave,Clear-span distribution shell. Stamped drawings and anchor-bolt plan included.,https://mistyvalleysupply.com/#/p/MVS-PB-50100,84500.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,Engineered per order to IBC loads,10-14 weeks
MVS-PB-DOCK,Dock Door Package — 9×10 Sectional + Leveler + Seal,"One complete truck position: door, leveler, bumpers, seal.",https://mistyvalleysupply.com/#/p/MVS-PB-DOCK,4850.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,"Edge-of-dock leveler, bumpers, seal",with shell
MVS-PB-RUD1214,Drive-In Roll-Up Door — 12 ft × 14 ft,"Equipment access — a skid steer, a box truck, a combine.",https://mistyvalleysupply.com/#/p/MVS-PB-RUD1214,2950.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,Wind-rated with shell engineering,with shell
MVS-PB-INSWH,"Metal Building Insulation — per 1,000 sq ft",Roof and wall blanket installed with the sheeting. Ordered by the thousand square feet.,https://mistyvalleysupply.com/#/p/MVS-PB-INSWH,780.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Faced blanket, R-13 walls / R-19 roof class",2-3 weeks
MVS-PB-4060,"Barndominium Shell — 40 ft × 60 ft × 14 ft, Bolt-Up Kit","The barndo workhorse: shop bay one end, living quarters the other. Stamped drawings included.",https://mistyvalleysupply.com/#/p/MVS-PB-4060,38500.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,Engineered per order to IBC loads,8-12 weeks
MVS-PB-PORCH12,Porch Roof Kit — per 12-ft Bay,Adds a covered porch bay off the eave side. Ordered with the shell.,https://mistyvalleysupply.com/#/p/MVS-PB-PORCH12,1850.00 USD,made_to_order,new,Misty Valley Supply,Site Structures,EA,Matches shell engineering,with shell
MVS-IN-R19,Fiberglass Batt R-19 — per 100 sq ft,Walls of conditioned space. Sold by the hundred square feet.,https://mistyvalleysupply.com/#/p/MVS-IN-R19,68.00 USD,in_stock,new,Misty Valley Supply,Sheathing & Framing,EA,Kraft-faced batt,2-4 days
MVS-GC-CP1221,"Steel Carport Base Unit — 12 × 21 ft, Regular Roof, 14-ga","The industry base unit: 12 ft wide, 21 ft long, 6-ft legs, rounded-eave regular roof, installed on your level site. Every wider, longer, taller or more-enclosed build prices as adders on this unit.",https://mistyvalleysupply.com/#/p/MVS-GC-CP1221,1595.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"29-ga panels, 14-ga galvanized frame",3-6 weeks typical
MVS-GC-WID2,Frame Width — per 2 ft over 12 ft,"Widths run 12 to 30 ft. Over 24 ft the plant trusses the bows — same adder, engineered at order.",https://mistyvalleysupply.com/#/p/MVS-GC-WID2,180.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Wider roof bows, same frame family",with unit
MVS-GC-LEN5,Frame Length — per 5-ft Bay over 21 ft,Lengths run 21 to 51 ft in 5-ft bays. Each bay adds a leg pair and a roof section.,https://mistyvalleysupply.com/#/p/MVS-GC-LEN5,395.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Adds one leg pair + roof section,with unit
MVS-GC-LEG1,Leg Height — per Foot over 6 ft,"Leg height is side-wall clearance, not peak height. An RV wants 12-ft legs; a garage door wants legs a foot over the door.",https://mistyvalleysupply.com/#/p/MVS-GC-LEG1,150.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Legs 6-14 ft, taller legs = taller braces",with unit
MVS-GC-BOX,Boxed-Eave (A-Frame) Roof Upgrade — Horizontal Panels,"The house-style look: peaked A-frame with boxed eaves, panels still run the length of the roof.",https://mistyvalleysupply.com/#/p/MVS-GC-BOX,475.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"A-frame profile, panels run horizontal",with unit
MVS-GC-VERT,"Vertical Roof Upgrade — per 5-ft Roof Section, Ridge Cap Incl.","Panels run downhill, so snow, leaves and rain slide off instead of sitting in the ribs. The industry's best roof, priced per roof section.",https://mistyvalleysupply.com/#/p/MVS-GC-VERT,145.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Panels run eave-to-ridge over hat channel,with unit
MVS-GC-12GA,12-Ga Frame Upgrade — per 5-ft Bay,"Thicker-wall tube on every bow and leg. Longer frame warranty at most plants, and the frame most certified ratings assume.",https://mistyvalleysupply.com/#/p/MVS-GC-12GA,95.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,2.25-in 12-ga tube vs 2.5-in 14-ga,with unit
MVS-GC-26GA,26-Ga Panel Upgrade — per 5-ft Bay,Heavier sheeting on the roof and any installed wall panels — the hail-and-dent upgrade.,https://mistyvalleysupply.com/#/p/MVS-GC-26GA,75.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,26-ga sheeting vs 29-ga standard,with unit
MVS-GC-SIDEH,"Partial Side Enclosure — Eave Panel, per 5-ft Section",A 3-ft panel down from the eave each side — rain protection that keeps the drive-through open.,https://mistyvalleysupply.com/#/p/MVS-GC-SIDEH,75.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Panel hangs from the eave, legs open below",with unit
MVS-GC-SIDEF,Full Side Enclosure — per 5-ft Section,"Closes one side to the ground, one 5-ft section at a time. Two full sides + two full ends = a garage.",https://mistyvalleysupply.com/#/p/MVS-GC-SIDEF,135.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Eave-to-grade wall panel + trim,with unit
MVS-GC-GABLE,"Gable End — Peak Fill Above Eave, per End",Fills the gable triangle only — the end stays drive-through. Pairs with A-frame roofs.,https://mistyvalleysupply.com/#/p/MVS-GC-GABLE,295.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Closes the triangle above the eave line,with unit
MVS-GC-ENDP,"End-Wall Enclosure — per Foot of Width, Gable Fill Incl.","Closes one end wall solid, gable included. Doors are frame-outs in this wall — order them below.",https://mistyvalleysupply.com/#/p/MVS-GC-ENDP,32.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Eave-to-grade end wall + gable fill,with unit
MVS-GC-RU66,"Roll-Up Door — 6 × 6 ft, Frame-Out Incl.",Mower-and-ATV door. Frame-out in the wall included.,https://mistyvalleysupply.com/#/p/MVS-GC-RU66,495.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Curtain-style steel roll-up,with unit
MVS-GC-RU98,"Roll-Up Door — 9 × 8 ft, Frame-Out Incl.",The single-car door. Fits under 9-ft legs and up.,https://mistyvalleysupply.com/#/p/MVS-GC-RU98,795.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Curtain-style steel roll-up,with unit
MVS-GC-RU1010,"Roll-Up Door — 10 × 10 ft, Frame-Out Incl.",Tall enough for a loaded pickup rack or a small tractor with ROPS. Wants 11-ft legs.,https://mistyvalleysupply.com/#/p/MVS-GC-RU1010,1095.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Curtain-style steel roll-up,with unit
MVS-GC-RU1212,"Roll-Up Door — 12 × 12 ft, Frame-Out Incl.",RV and ag-equipment door. Wants 13- or 14-ft legs.,https://mistyvalleysupply.com/#/p/MVS-GC-RU1212,1595.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,Curtain-style steel roll-up,with unit
MVS-GC-WALK36,"Walk-In Door — 36 in, Frame-Out Incl.",Walk in without rolling the big door. Keyed lockset included.,https://mistyvalleysupply.com/#/p/MVS-GC-WALK36,395.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Steel walk door, keyed lockset",with unit
MVS-GC-WIN3030,Window — 30 × 30 in with Frame-Out,Daylight for a shop wall. Framed opening and trim included.,https://mistyvalleysupply.com/#/p/MVS-GC-WIN3030,275.00 USD,in_stock,new,Misty Valley Supply,Site Structures,EA,"Insulated slider, screen incl.",with unit
